transaction_id,item_id,quantity,unit_price,subtotal,created_at
qqq,2,1,7,7,2025-01-01 12:30:10
rrr,6,1,9.5,9.5,2025-01-01 12:30:11
sss,7,2,9,18,2025-01-01 12:30:11
ttt,1,3,6,18,2025-01-01 12:30:12
uuu,3,1,8,8,2025-01-01 12:30:13
vvv,5,2,9,18,2025-01-01 12:30:14
www,8,1,10,10,2025-01-01 12:30:14
xxx,6,3,9.5,28.5,2025-01-01 12:30:14
yyy,7,2,9,18,2025-01-01 12:30:15
zzz,1,3,6,18,2025-01-01 12:30:16
aaaa,3,1,8,8,2025-01-01 12:30:17
bbbbbb,5,1,9,9,2025-01-01 12:30:18
cccccc,8,2,10,20,2025-01-01 12:30:18
ddddd,1,2,6,12,2025-01-01 12:30:18
eeee,4,1,8,8,2025-01-01 12:30:19
ffff,6,1,9.5,9.5,2025-01-01 12:30:19
ggggg,3,3,8,24,2025-01-01 12:30:19
hhhh,8,2,10,20,2025-01-01 12:30:20
iiii,7,2,9,18,2025-01-01 12:30:20
jjjj,6,1,9.5,9.5,2025-01-01 12:30:21
kkkkk,1,1,6,6,2025-01-01 12:30:22
mmmm,2,2,7,14,2025-01-01 12:30:22
nnnnn,8,2,10,20,2025-01-01 12:30:22
ooooo,2,2,7,14,2025-01-01 12:30:23
pppppp,1,3,6,18,2025-01-01 12:30:23
qqqqqq,4,3,8,24,2025-01-01 12:30:23
rrrrrr,3,3,8,24,2025-01-01 12:30:24
ssssss,4,1,8,8,2025-01-01 12:30:25
aaaaaaaaaa,2,3,7,21,2025-01-01 12:30:25
bbbbbbbbbb,3,2,8,16,2025-01-01 12:30:26
cccccccccc,5,3,9,27,2025-01-01 12:30:26
dddddddddd,8,2,10,20,2025-01-01 12:30:27
eeeeeeeeee,5,3,9,27,2025-01-01 12:30:27
ffffffffff,5,3,9,27,2025-01-01 12:30:27
ggggggggg,2,3,7,21,2025-01-01 12:30:28
hhhhhhhhh,3,2,8,16,2025-01-01 12:30:29
iiiiiiiii,1,3,6,18,2025-01-01 12:30:30
jjjjjjjjjj,2,2,7,14,2025-01-01 12:30:30
kkkkkkkkk,8,1,10,10,2025-01-01 12:30:30
mmmmmmmmm,6,2,9.5,19,2025-01-01 12:30:31
nnnnnnnnnn,1,3,6,18,2025-01-01 12:30:31
ooooooooooo,2,2,7,14,2025-01-01 12:30:32
qqqqqqqqqqq,3,1,8,8,2025-01-01 12:30:33
rrrrrrrrrrr,5,2,9,18,2025-01-01 12:30:34
ssssssssss,7,1,9,9,2025-01-01 12:30:35
