user_id,gender,birthdate,registered_at
1,female,1970-04-02,2024-01-10 10:49:54
2,female,2007-10-10,2024-01-10 10:52:47
3,male,1991-03-15,2024-01-10 10:57:22
4,female,1966-08-22,2024-01-10 10:59:46
5,male,1999-10-05,2024-01-10 11:00:47
6,female,1973-12-21,2024-01-10 11:01:31
7,male,2002-08-31,2024-01-10 11:01:38
8,male,1976-02-10,2024-01-10 11:03:06
9,male,1986-01-26,2024-01-10 11:03:35
10,male,1967-04-11,2024-01-10 11:04:15
11,female,1988-04-23,2024-01-10 11:09:29
12,male,2005-09-06,2024-01-10 11:09:42
13,male,2001-07-10,2024-01-10 11:09:43
14,male,1975-07-24,2024-01-10 11:09:47
15,male,2001-08-01,2024-01-10 11:10:56
16,male,1987-06-14,2024-01-10 11:11:18
17,female,1965-03-03,2024-01-10 11:11:41
18,male,1975-12-22,2024-01-10 11:12:02
19,male,1988-03-01,2024-01-10 11:12:38
20,female,1994-03-09,2024-01-10 11:13:03
21,male,1977-12-04,2024-01-10 11:13:41
22,male,1984-08-02,2024-01-10 11:14:03
23,male,2000-07-13,2024-01-10 11:14:27
24,male,1968-07-19,2024-01-10 11:14:29
25,female,1964-11-01,2024-01-10 11:15:13
26,female,2007-04-08,2024-01-10 11:17:01
27,female,1966-11-25,2024-01-10 11:19:06
28,female,1986-07-15,2024-01-10 11:20:36
29,female,1990-03-12,2024-01-10 11:21:47
30,male,1968-03-18,2024-01-10 11:23:29
31,female,1979-09-05,2024-01-10 11:23:46
32,male,1974-07-20,2024-01-10 11:25:55
33,male,2005-06-18,2024-01-10 11:26:51
34,male,1986-05-31,2024-01-10 11:26:57
35,female,2004-04-11,2024-01-10 11:27:14
36,male,1971-12-26,2024-01-10 11:27:30
