2024_S1,G Coffee @ Alam Tun Hussein Onn,12055387.76
2024_S1,G Coffee @ Bandar Seri Mulia,12063798.38
2024_S1,G Coffee @ Damansara Saujana,12071599.83
2024_S1,G Coffee @ Kampung Changkat,12075093.82
2024_S1,G Coffee @ Kondominium Putra,12081295.48
2024_S1,G Coffee @ PJS8,12083143.87
2024_S1,G Coffee @ Seksyen 21,12102556.66
2024_S1,G Coffee @ Taman Damansara,12097843.58
2024_S1,G Coffee @ USJ 57W,12074549.72
2024_S1,G Coffee @ USJ 89q,12054500.53
2024_S2,G Coffee @ Alam Tun Hussein Onn,12201348.87
2024_S2,G Coffee @ Bandar Seri Mulia,12160503.04
2024_S2,G Coffee @ Damansara Saujana,12146023.42
2024_S2,G Coffee @ Kampung Changkat,12128707.08
2024_S2,G Coffee @ Kondominium Putra,12143664.84
2024_S2,G Coffee @ PJS8,12130840.02
2024_S2,G Coffee @ Seksyen 21,12140090.40
2024_S2,G Coffee @ Taman Damansara,12178771.76
2024_S2,G Coffee @ USJ 57W,12129201.62
2024_S2,G Coffee @ USJ 89q,12099203.96
2025_S1,G Coffee @ Alam Tun Hussein Onn,11962801.07
2025_S1,G Coffee @ Bandar Seri Mulia,12009401.87
2025_S1,G Coffee @ Damansara Saujana,11984970.70
2025_S1,G Coffee @ Kampung Changkat,12067810.86
2025_S1,G Coffee @ Kondominium Putra,12021300.54
2025_S1,G Coffee @ PJS8,12013619.75
2025_S1,G Coffee @ Seksyen 21,12037040.53
2025_S1,G Coffee @ Taman Damansara,11994787.11
2025_S1,G Coffee @ USJ 57W,12005743.93
2025_S1,G Coffee @ USJ 89q,11996361.26
year_semester,store_name,tpv
