G Coffee @ Alam Tun Hussein Onn,1973-10-31,8.0
G Coffee @ Alam Tun Hussein Onn,1997-08-10,8.0
G Coffee @ Alam Tun Hussein Onn,2006-01-28,8.0
G Coffee @ Bandar Seri Mulia,1983-08-25,8.0
G Coffee @ Bandar Seri Mulia,1991-05-16,8.0
G Coffee @ Bandar Seri Mulia,2000-06-30,8.0
G Coffee @ Damansara Saujana,1970-04-21,7.0
G Coffee @ Damansara Saujana,1981-01-12,7.0
G Coffee @ Damansara Saujana,1995-04-18,7.0
G Coffee @ Kampung Changkat,1970-01-03,8.0
G Coffee @ Kampung Changkat,1970-01-28,7.0
G Coffee @ Kampung Changkat,1984-11-07,7.0
G Coffee @ Kondominium Putra,1988-09-13,8.0
G Coffee @ Kondominium Putra,1999-08-03,7.0
G Coffee @ Kondominium Putra,2007-06-14,7.0
G Coffee @ PJS8,1979-12-04,9.0
G Coffee @ PJS8,1983-05-23,8.0
G Coffee @ PJS8,2003-11-05,8.0
G Coffee @ Seksyen 21,1972-03-05,7.0
G Coffee @ Seksyen 21,1992-01-17,7.0
G Coffee @ Seksyen 21,1994-06-06,7.0
G Coffee @ Taman Damansara,1968-01-14,7.0
G Coffee @ Taman Damansara,1986-04-06,7.0
G Coffee @ Taman Damansara,2004-11-10,7.0
G Coffee @ USJ 57W,1978-01-25,7.0
G Coffee @ USJ 57W,2006-02-27,6.0
G Coffee @ USJ 57W,2007-12-30,7.0
G Coffee @ USJ 89q,1971-11-13,7.0
G Coffee @ USJ 89q,1976-08-10,7.0
G Coffee @ USJ 89q,2001-06-11,7.0
store_name,birthdate,purchases_qty
